"","name_id","1500","5000","MILE","800","8k","8K (XC)"
"177","Kevin_Rogers.html","4:04.51","15:21.82","4:33.53",NA,NA,"26:05.7"
"178","Teddy_Salamone.html","4:15.56",NA,"4:44.91","2:11.03",NA,"27:45.8"
"179","Larson_Sippel.html","4:04.21",NA,"4:40.63","1:53.32",NA,"25:54.1"
"180","T.J._Sparno.html","4:10.66","16:18.57","4:40.36",NA,NA,"27:01.8"
"181","Alex_Willard.html","4:37.30","16:03.38",NA,NA,NA,"27:37.7"
"182","John_Hutchins.html",NA,NA,NA,NA,NA,"27:09.4"
"183","Dylan_Idelman.html",NA,NA,NA,NA,NA,"27:03.4"
"184","Amokrane_Aouchiche.html","4:12.11","14:29.60",NA,NA,NA,"24:39.6"
"185","Luke_Brennan.html","4:09.92","14:48.90","4:31.28",NA,NA,"24:53.7"
"186","Matt_Burdulis.html",NA,"15:58.76",NA,NA,NA,"27:22.8"
"187","Lucas_Chang.html",NA,"15:50.91",NA,NA,NA,"26:50.4"
"188","Calvin_Cummings.html","4:11.65","14:56.16","4:31.03","2:02.78",NA,"24:47.2"
"189","Will_Cusato.html","3:57.30",NA,"4:21.40","1:54.94",NA,"26:13.4"
"190","Simon_Donovan.html","3:58.56",NA,"4:26.10","1:58.68",NA,"25:57.1"
"191","Jacob_Fippin.html",NA,"15:01.85",NA,NA,NA,"25:15.6"
"192","Alex_Friedman.html","3:57.77","14:58.01","4:20.13","1:59.89",NA,"24:52.4"
"193","Gabe_Grove.html","4:19.82","15:14.01",NA,"2:10.81",NA,"25:46.7"
"194","Harris_Gulbransen.html",NA,"14:40.73",NA,NA,NA,"25:26.5"
"195","Quinn_Hampson.html","3:51.21","14:41.51","4:18.80","1:56.71",NA,"25:00.8"
"196","Meba_Henok.html","4:06.23",NA,NA,"1:52.27",NA,"26:26.2"
"197","Jackson_Kiefer.html","4:29.08",NA,NA,"2:01.20",NA,"27:48.6"
"198","Lucas_Klein.html","4:19.45","16:33.00","4:33.37",NA,NA,"27:36.7"
"199","Charlie_Krebs.html","4:11.15",NA,"4:46.27","2:04.54",NA,"28:19.0"
"200","Sam_Kurian.html","4:05.12",NA,NA,"1:52.29",NA,"26:20.7"
"201","Aidan_Max.html","4:12.36","15:21.33",NA,"2:10.43",NA,"25:05.6"
"202","Cullen_McCaleb.html","3:56.73","15:52.53","4:16.23",NA,NA,"25:40.2"
"203","Ryan_Regan.html",NA,NA,NA,"1:56.87",NA,"27:11.9"
"204","Jonah_Reisner.html","3:59.63","14:16.67","4:17.61","1:59.02",NA,"24:52.5"
"205","Avery_Smart.html",NA,"14:59.59",NA,NA,NA,"25:01.4"
"206","Ben_Stratton.html","4:05.27",NA,"4:33.30","2:04.18",NA,"28:27.0"
"207","Ryder_Want.html",NA,NA,NA,"1:58.47",NA,"27:40.1"
"208","Brady_Colford.html",NA,NA,NA,NA,NA,"26:57.6"
"209","Chris_Tilton.html",NA,NA,NA,NA,NA,"28:26.4"
"210","Zach_Allen.html","3:59.47","15:08.18","4:22.30",NA,NA,"25:56.5"
"211","Sam_Aronow.html","4:17.86",NA,"4:55.30","2:14.26",NA,"27:57.4"
"212","Calder_Burke.html","4:14.40","15:40.22","4:25.42","2:08.33",NA,"26:07.1"
"213","Liam_Calhoun.html","3:55.05","14:14.96","4:13.16",NA,NA,"25:03.0"
"214","Thomas_Chun.html","4:07.07",NA,"4:25.49","2:02.32",NA,"26:52.4"
"215","Dylan_Cote.html","3:57.06","14:57.67",NA,NA,NA,"25:06.5"
"216","Robert_D'Aquila_.html","3:57.19","15:57.35","4:14.82","1:54.68",NA,"26:27.7"
"217","Nathan_Fogarty.html","3:58.44",NA,"4:17.37","1:52.48",NA,"25:27.7"
